;marca;preco
98;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto - 13443-5;R$ 1.099,99
99;Cadeira Gamer Husky Gaming Storm, Preto, Vermelho e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-RBW;R$ 894,99
100;Cadeira Gamer Mymax Mx9, Giratória, Preto/Prata;R$ 636,65
101;Cadeira Gamer Raven X-10, Até 150Kg, Com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto e Azul - CDRVX10PA;R$ 899,99
102;Cadeira Gamer DT3 Elise, Até 130 Kg, com Almofadas, Reclinável, Preto e Cinza - 13439-0;R$ 1.129,99
103;Cadeira Gamer ThunderX3 BC3, Black e Red- 67992;R$ 1.149,99
104;Cadeira Gamer Mymax Mx1, Giratória, Preto E Vermelho - mgch-8131/rd;R$ 466,65
105;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Verde - MGCH-MX5/GRWH;R$ 849,99
106;Cadeira Gamer Mymax Mx9, até 150kg, Giratória, Com Almofadas, Reclinável, Preto/Roxo;R$ 636,65
107;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086;R$ 1.249,99
108;Cadeira Gamer Corsair T1 Race, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Preto e Amarelo - CF-9010015-WW;R$ 1.299,99
109;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Rosa e Branco - XTR-023;R$ 1.499,99
110;Cadeira Gamer Stillus, Ergonômica, Com Apoio Para Os Pés, Preta e Branca;R$ 689,90
111;Cadeira Gamer DT3 Royce Ashen, Com Almofadas, Reclinável, Apoio de braço 4D, Cinza e Preto - 13340-1;R$ 2.399,99
112;Cadeira Gamer PCYes Mad Racer V8 Turbo, Blue - V8TBMADAZ;R$ 1.189,99
113;Cadeira Gamer Alpha Gamer Polaris Edition, Até 150Kg, Descanso de Braço 4D,  Preto e Branco - AGPOLARISRE-BK-BL;R$ 1.559,99
114;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Azul - 13444-6;R$ 1.199,99
115;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Rosa - Mgch-mx0/pk;R$ 381,65
116;Cadeira Gamer Noblechairs EPIC, Black - NBL-PU-BLA-002;R$ 2.399,99
117;Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Azul - mgch-8131/bl;R$ 466,65
118;Cadeira Gamer ThunderX3 BC3 Camo/CZ, Black Hawk - 67994;R$ 1.104,99
119;Cadeira Gamer Fortrek Black Hawk Black - 70508;R$ 869,99
